aldrin->apollo 11 |вес словосочитания ->17|вес слова ->162|уникальность слова ->2.094647013188518%
apollo->aldrin received |вес словосочитания ->13|вес слова ->43|уникальность слова ->0.5559865528833722%
gemini->the gemini|вес словосочитания ->11|вес слова ->39|уникальность слова ->0.504266873545384%
first->the first|вес словосочитания ->8|вес слова ->37|уникальность слова ->0.47840703387638994%
which->module pilot|вес словосочитания ->6|вес слова ->35|уникальность слова ->0.4525471942073959%
space->and armstrong|вес словосочитания ->3|вес слова ->32|уникальность слова ->0.4137574347039048%
pilot->in space|вес словосочитания ->2|вес слова ->28|уникальность слова ->0.3620377553659167%
lunar->which was |вес словосочитания ->1|вес слова ->28|уникальность слова ->0.3620377553659167%
сирии->во главе|вес словосочитания ->16|вес слова ->52|уникальность слова ->0.7361268403171007%
после->в сирии|вес словосочитания ->5|вес слова ->26|уникальность слова ->0.36806342015855037%
страны->народная партии|вес словосочитания ->3|вес слова ->24|уникальность слова ->0.33975084937712347%
правительство->альасали правительство|вес словосочитания ->1|вес слова ->21|уникальность слова ->0.297281993204983%
сирии->во главе|вес словосочитания ->16|вес слова ->52|уникальность слова ->0.7361268403171007%
после->в сирии|вес словосочитания ->5|вес слова ->26|уникальность слова ->0.36806342015855037%
страны->народная партии|вес словосочитания ->3|вес слова ->24|уникальность слова ->0.33975084937712347%
правительство->альасали правительство|вес словосочитания ->1|вес слова ->21|уникальность слова ->0.297281993204983%
сирии->во главе|вес словосочитания ->16|вес слова ->52|уникальность слова ->0.7361268403171007%
после->в сирии|вес словосочитания ->5|вес слова ->26|уникальность слова ->0.36806342015855037%
страны->народная партии|вес словосочитания ->3|вес слова ->24|уникальность слова ->0.33975084937712347%
правительство->альасали правительство|вес словосочитания ->1|вес слова ->21|уникальность слова ->0.297281993204983%
сирии->во главе|вес словосочитания ->16|вес слова ->52|уникальность слова ->0.7361268403171007%
после->в сирии|вес словосочитания ->5|вес слова ->26|уникальность слова ->0.36806342015855037%
страны->народная партии|вес словосочитания ->3|вес слова ->24|уникальность слова ->0.33975084937712347%
правительство->альасали правительство|вес словосочитания ->1|вес слова ->21|уникальность слова ->0.297281993204983%
сирии->во главе|вес словосочитания ->16|вес слова ->52|уникальность слова ->0.7361268403171007%
после->в сирии|вес словосочитания ->5|вес слова ->26|уникальность слова ->0.36806342015855037%
страны->народная партии|вес словосочитания ->3|вес слова ->24|уникальность слова ->0.33975084937712347%
правительство->альасали правительство|вес словосочитания ->1|вес слова ->21|уникальность слова ->0.297281993204983%
сирии->во главе|вес словосочитания ->16|вес слова ->52|уникальность слова ->0.7361268403171007%
после->в сирии|вес словосочитания ->5|вес слова ->26|уникальность слова ->0.36806342015855037%
страны->народная партии|вес словосочитания ->3|вес слова ->24|уникальность слова ->0.33975084937712347%
правительство->альасали правительство|вес словосочитания ->1|вес слова ->21|уникальность слова ->0.297281993204983%
сирии->во главе|вес словосочитания ->16|вес слова ->52|уникальность слова ->0.7361268403171007%
после->в сирии|вес словосочитания ->5|вес слова ->26|уникальность слова ->0.36806342015855037%
страны->народная партии|вес словосочитания ->3|вес слова ->24|уникальность слова ->0.33975084937712347%
правительство->альасали правительство|вес словосочитания ->1|вес слова ->21|уникальность слова ->0.297281993204983%
сирии->во главе|вес словосочитания ->16|вес слова ->52|уникальность слова ->0.7361268403171007%
после->в сирии|вес словосочитания ->5|вес слова ->26|уникальность слова ->0.36806342015855037%
страны->народная партии|вес словосочитания ->3|вес слова ->24|уникальность слова ->0.33975084937712347%
правительство->альасали правительство|вес словосочитания ->1|вес слова ->21|уникальность слова ->0.297281993204983%
текста->ключевых слов |вес словосочитания ->14|вес слова ->42|уникальность слова ->1.8018018018018018%
текстов->по образцу|вес словосочитания ->11|вес слова ->30|уникальность слова ->1.287001287001287%
информации->документов по |вес словосочитания ->6|вес слова ->24|уникальность слова ->1.0296010296010296%
метод->тематики текста|вес словосочитания ->3|вес слова ->21|уникальность слова ->0.9009009009009009%
поиска->двух текстов|вес словосочитания ->3|вес слова ->18|уникальность слова ->0.7722007722007722%
документов->поиск документов |вес словосочитания ->3|вес слова ->18|уникальность слова ->0.7722007722007722%
текста->тематической близости |вес словосочитания ->99|вес слова ->234|уникальность слова ->0.6758708335740281%
поиска->тематической близости|вес словосочитания ->94|вес слова ->177|уникальность слова ->0.5112356305239443%
документов->информационных признаков |вес словосочитания ->75|вес слова ->158|уникальность слова ->0.4563572295072497%
тематической->ключевых элементов|вес словосочитания ->47|вес слова ->144|уникальность слова ->0.4159205129686327%
близости->тематического анализа|вес словосочитания ->36|вес слова ->123|уникальность слова ->0.35526543816070705%
анализа->тематики текста|вес словосочитания ->31|вес слова ->110|уникальность слова ->0.31771705851770554%
элементов->для поиска|вес словосочитания ->28|вес слова ->110|уникальность слова ->0.31771705851770554%
информационных->документов  |вес словосочитания ->26|вес слова ->104|уникальность слова ->0.3003870371440125%
тематики->признаков тематики|вес словосочитания ->19|вес слова ->96|уникальность слова ->0.2772803419790884%
текста->тематической близости |вес словосочитания ->99|вес слова ->234|уникальность слова ->0.6758708335740281%
поиска->тематической близости|вес словосочитания ->94|вес слова ->177|уникальность слова ->0.5112356305239443%
документов->информационных признаков |вес словосочитания ->75|вес слова ->158|уникальность слова ->0.4563572295072497%
тематической->ключевых элементов|вес словосочитания ->47|вес слова ->144|уникальность слова ->0.4159205129686327%
близости->тематического анализа|вес словосочитания ->36|вес слова ->123|уникальность слова ->0.35526543816070705%
анализа->тематики текста|вес словосочитания ->31|вес слова ->110|уникальность слова ->0.31771705851770554%
элементов->для поиска|вес словосочитания ->28|вес слова ->110|уникальность слова ->0.31771705851770554%
информационных->документов  |вес словосочитания ->26|вес слова ->104|уникальность слова ->0.3003870371440125%
тематики->признаков тематики|вес словосочитания ->19|вес слова ->96|уникальность слова ->0.2772803419790884%
